Date,Flight number,From,To,Dep time,Arr time,Duration,Airline,Aircraft,Registration,Seat number,Seat type,Flight class,Flight reason,Note,Dep_id,Arr_id,Airline_id,Aircraft_id,Cost_sgd
2023-05-15,FR4775,Thessaloniki / Makedonia (SKG/LGTS),Bergamo / Orio Al Serio (BGY/LIME),0:00:00,0:00:00,1:53:00, Ryanair, (),,,0,0,0,,2696,293,0,0,35.87
2023-06-19,FR4638,Bergamo / Orio Al Serio (BGY/LIME),Porto / Francisco Sa Carneiro (OPO/LPPR),17:15:00,19:00:00,2:45:00,Ryanair (FR/RYR),Boeing 737-800 (B738),,,0,0,0,,293,2202,668,231,38.72
2023-06-29,EJU3928,Marrakech / Menara (RAK/GMMX),Milan / Malpensa (MXP/LIMC),0:00:00,0:00:00,3:07:00, Easyjet, (),,,0,0,0,,2474,1983,0,0,43.29
2023-07-07,U2 3963,Milan / Malpensa (MXP/LIMC),Beauvais / Beauvais Tille (BVA/LFOB),0:00:00,0:00:00,1:07:00, Wizz Air, (),,,0,0,0,,1983,440,0,0,71.33
2023-07-10,EJU4631,Paris / Charles de Gaulle (CDG/LFPG),Berlin / Brandenburg (BER/EDDB),0:00:00,0:00:00,1:24:00, Easyjet, (),,,0,0,0,,509,4895,0,0,137
2023-07-16,FR4143,Prague / Praha-Ruzyne (PRG/LKPR),Budapest / Franz Liszt International (BUD/LHBP),7:45:00,8:55:00,1:10:00,Ryanair (FR/RYR),Boeing 737-800 (B738),,,0,0,0,,2398,429,668,231,85.33
2023-07-18,RO 238,Budapest / Franz Liszt International (BUD/LHBP),Bucharest / Henri Coanda (OTP/LROP),0:00:00,0:00:00,1:04:00, TAROM, (),,,0,0,0,,429,2230,0,0,161.67
2023-07-21,FR8735,Bucharest / Henri Coanda (OTP/LROP),Milan / Malpensa (MXP/LIMC),13:40:00,15:10:00,2:30:00,Ryanair (FR/RYR),Boeing 737-800 (B738),,,0,0,0,,2230,1983,668,231,30.33
2023-07-22,QR124,Milan / Malpensa (MXP/LIMC),Doha / Hamad International (DOH/OTHH),9:40:00,16:25:00,5:45:00,Qatar Airways (QR/QTR),Airbus A350-900 (A359),,,0,0,0,,1983,5259,634,2110,351.14
2023-07-23,QR946,Doha / Hamad International (DOH/OTHH),Singapore / Changi (SIN/WSSS),0:00:00,0:00:00,8:38:00, Qatar Airways, (),,,0,0,0,,5259,2672,0,0,492.80
2023-08-05,TR712,Singapore / Changi (SIN/WSSS),Athens / Eleftherios Venizelos (ATH/LGAV),0:00:00,0:00:00,12:28:00, Scoot, (),,,0,0,0,,2672,3583,0,0,580.23
2023-08-05,D82963,Athens / Eleftherios Venizelos (ATH/LGAV),Helsinki / Vantaa (HEL/EFHK),20:20:00,23:55:00,3:35:00,Norwegian Air International (D8/IBK),Boeing 737 MAX 8 (B38M),,,0,0,0,,3583,1110,1644,2123,159.79
2023-08-19,TK 1764,Helsinki / Vantaa (HEL/EFHK),Istanbul / Istanbul Airport (IST/LTFM),0:00:00,0:00:00,3:07:00, Turkish Airlines, (),,,0,0,0,,1110,8949,0,0,93.19
2023-08-20,TK 208,Istanbul / Istanbul Airport (IST/LTFM),Singapore / Changi (SIN/WSSS),0:00:00,0:00:00,11:58:00, Turkish Airlines, (),,,0,0,0,,8949,2672,0,0,379.15
2023-09-09,SV837,Singapore / Changi (SIN/WSSS),Jeddah / King Abdulaziz (JED/OEJN),0:00:00,0:00:00,10:11:00, Saudia, (),,,0,0,0,,2672,1325,0,0,299.93
2023-09-10,SV530,Jeddah / King Abdulaziz (JED/OEJN),Muscat / Seeb (MCT/OOMS),0:00:00,0:00:00,2:54:00, Saudia, (),,,0,0,0,,1325,1770,0,0,80.41
2023-09-12,3L252,Muscat / Seeb (MCT/OOMS),Abu Dhabi / Abu Dhabi (AUH/OMAA),20:30:00,21:40:00,1:10:00,InterSky (3L/ISK),Airbus A320-200 (A320),,,0,0,0,,1770,188,1102,2059,63.3
2023-09-14,TK7775,Sharjah / Sharjah (SHJ/OMSJ),Istanbul / Sabiha Gokcen (SAW/LTFJ),0:00:00,0:00:00,4:16:00, Air Arabia, (),,,0,0,0,,2657,3659,0,0,237.09
2023-09-14,TK7878,Istanbul / Sabiha Gokcen (SAW/LTFJ),Zurich / Kloten (ZRH/LSZH),0:00:00,0:00:00,2:41:00, Turkish Airlines, (),,,0,0,0,,3659,3548,0,0,143.65
2023-11-02,W4 8371,Rome / Leonardo da Vinci-Fiumicino (FCO/LIRF),Baku / Heydar Aliyev (GYD/UBBB),0:00:00,0:00:00,4:29:00, Wizz Air, (),,,0,0,0,,872,216,0,0,50.64
2023-11-04,J2 8223,Baku / Heydar Aliyev (GYD/UBBB),Tbilisi / Novo Alexeyevka (TBS/UGTB),0:00:00,0:00:00,0:51:00, Azerbaijan Airlines, (),,,0,0,0,,216,3679,0,0,92.22
2023-11-08,W45568,Yerevan / Zvartnots (EVN/UDYZ),Milan / Malpensa (MXP/LIMC),0:00:00,0:00:00,4:13:00, Wizz Air, (),,,0,0,0,,3593,1983,0,0,102.01
2023-11-15,U2 3905,Milan / Malpensa (MXP/LIMC),Prague / Praha-Ruzyne (PRG/LKPR),0:00:00,0:00:00,1:07:00, Easyjet, (),,,0,0,0,,1983,2398,0,0,58.92
2023-11-28,W45620,Prague / Praha-Ruzyne (PRG/LKPR),Milan / Malpensa (MXP/LIMC),0:00:00,0:00:00,1:07:00, Wizz Air, (),,,0,0,0,,2398,1983,0,0,30.41
2023-12-01,W4 3870,Bergamo / Orio Al Serio (BGY/LIME),Tirana / Rinas (TIA/LATI),0:00:00,0:00:00,1:30:00, Wizz Air, (),,,0,0,0,,293,2922,0,0,10.92
2023-12-03,W4 3845,Tirana / Rinas (TIA/LATI),Bergamo / Orio Al Serio (BGY/LIME),0:00:00,0:00:00,1:30:00, Wizz Air, (),,,0,0,0,,2922,293,0,0,10.92
2023-12-20,EJU3853,Milan / Malpensa (MXP/LIMC),Amsterdam / Schiphol (AMS/EHAM),0:00:00,0:00:00,1:19:00, Easyjet, (),,,0,0,0,,1983,122,0,0,38.24
2023-12-28,EJU3858,Amsterdam / Schiphol (AMS/EHAM),Milan / Malpensa (MXP/LIMC),0:00:00,0:00:00,1:19:00, Easyjet, (),,,0,0,0,,122,1983,0,0,77.91
2023-12-28,W6 4124,Bergamo / Orio Al Serio (BGY/LIME),Belgrade / Nikola Tesla Beograd (BEG/LYBE),0:00:00,0:00:00,1:22:00, Wizz Air, (),,,0,0,0,,293,261,0,0,57.74
2024-01-01,W6 4123,Belgrade / Nikola Tesla Beograd (BEG/LYBE),Bergamo / Orio Al Serio (BGY/LIME),0:00:00,0:00:00,1:22:00, Wizz Air, (),,,0,0,0,,261,293,0,0,57.74
2024-02-07,FR3112,Bergamo / Orio Al Serio (BGY/LIME),Iasi / Iasi (IAS/LRIA),10:20:00,13:35:00,2:15:00,Ryanair (FR/RYR),Boeing 737-800 (B738),,,0,0,0,,293,1206,668,231,22.5
2024-02-08,W4 3717,Iasi / Iasi (IAS/LRIA),Istanbul / Istanbul Airport (IST/LTFM),0:00:00,0:00:00,1:08:00, Wizz Air, (),,,0,0,0,,1206,8949,0,0,35.96
2024-02-24,PC858,Istanbul / Sabiha Gokcen (SAW/LTFJ),Kuwait / Kuwait (KWI/OKKK),22:25:00,1:55:00,3:30:00,Pegasus Airlines (PC/PGT),Airbus A321-200 (A321),,,0,0,0,,3659,1538,1014,2076,59.74
2024-02-28,PC859,Kuwait / Kuwait (KWI/OKKK),Istanbul / Sabiha Gokcen (SAW/LTFJ),3:05:00,6:50:00,3:45:00,Pegasus Airlines (PC/PGT),Airbus A321-200 (A321),,,0,0,0,,1538,3659,1014,2076,59.74
2024-03-01,PC1213,Istanbul / Sabiha Gokcen (SAW/LTFJ),Bergamo / Orio Al Serio (BGY/LIME),14:20:00,16:10:00,2:50:00,Pegasus Airlines (PC/PGT),Airbus A321-200 (A321),,,0,0,0,,3659,293,1014,2076,107.51
2024-03-13,W46315,Milan / Malpensa (MXP/LIMC),Barcelona / El Prat (BCN/LEBL),10:35:00,12:15:00,1:40:00,Aero Services Executive (W4/BES),Airbus A321LR (A21N),,,0,0,0,,1983,239,126,2181,22
2024-03-14,VY7280,Barcelona / El Prat (BCN/LEBL),Algiers / Houari Boumediene (ALG/DAAG),0:00:00,0:00:00,0:57:00, Vueling, (),,,0,0,0,,239,104,0,0,58.68
2024-03-15,AH6234,Algiers / Houari Boumediene (ALG/DAAG),Tamanrasset / Aguenar (TMR/DAAT),22:00:00,00:25:00,02:25:00,Air Algerie (AH/DAH),Boeing 737-800 (B738),,,0,0,0,,104,2971,222,231,110
2024-03-17,AH6289,Tamanrasset / Aguenar (TMR/DAAT),Algiers / Houari Boumediene (ALG/DAAG),09:40:00,12:10:00,02:30:00,Air Algerie (AH/DAH),Boeing 737-600 (B736),,,0,0,0,,2971,104,222,229,110
